Name	Key	Frames	X	Y	Size
{surprise}	[0]	1	0	0	0.125
{sweat}	[1]	1	0.125	0	0.125
{laugh}	[2]	1	0.25	0	0.125
{shake}	[3]	1	0.375	0	0.125
{peace}	[4]	1	0.5	0	0.125
{shy}	[5]	1	0.625	0	0.125
{hug}	[6]	1	0.75	0	0.125
{grin}	[7]	1	0.875	0	0.125
{frown}	[8]	2	0	0.125	0.125
{tongue}	[9]	1	0.25	0.125	0.125
{dizzy}	[A]	1	0.375	0.125	0.125
{chuckle}	[B]	1	0.5	0.125	0.125
{shhh}	[C]	1	0.625	0.125	0.125
{angry}	[D]	1	0.75	0.125	0.125
{sleep}	[E]	1	0.875	0.125	0.125
{scream}	[F]	1	0	0.25	0.125
{scold}	[G]	1	0.125	0.25	0.125
{cry}	[H]	1	0.25	0.25	0.125
{lips}	[I]	1	0.375	0.25	0.125
{smile}	[J]	1	0.5	0.25	0.125
{panic}	[K]	1	0.625	0.25	0.125
{joyful}	[L]	1	0.75	0.25	0.125
